Jobtitle,Link,company,Updateddatetime
"Consultancy: Finance Specialist, Procurement Services Centre, Supply Division, Copenhagen",https://unjobs.org/vacancies/1574026059826,UNICEF - United Nations Children's Fund,2019-11-18T04:40:09Z
"Programme Assistant, Liberia",https://unjobs.org/vacancies/1574026056004,UNICEF - United Nations Children's Fund,2019-11-18T04:39:56Z
"Consultancy: Strategic Event Consultant | Remote | Part Time - Gender Equality Section | Programme Division, New York ",https://unjobs.org/vacancies/1574026052064,UNICEF - United Nations Children's Fund,2019-11-18T04:39:40Z
"Executive Associate, Office of Internal Audit & Investigations, New York",https://unjobs.org/vacancies/1574026048046,UNICEF - United Nations Children's Fund,2019-11-18T04:39:24Z
"Consultancy: Gender at the Centre Project Manager, Education Section, New York",https://unjobs.org/vacancies/1574026044170,UNICEF - United Nations Children's Fund,2019-11-18T04:39:12Z
"Consultancy: Knowledge Management Consultant - HIV and AIDS/HIV/AIDS Section, New York",https://unjobs.org/vacancies/1574026040316,UNICEF - United Nations Children's Fund,2019-11-18T04:38:50Z
"Programme Officer (IMO), Sana'a, Yemen",https://unjobs.org/vacancies/1574026011671,UNICEF - United Nations Children's Fund,2019-11-18T04:38:23Z
"Consultancy: Partnerships and Resource Mobilization, Health Section, New York",https://unjobs.org/vacancies/1574026036438,UNICEF - United Nations Children's Fund,2019-11-18T04:38:07Z
"National Consultant to Draft & Publish Monthly Report of Yemen Socio-Economic Update (YSEU), Yemen",https://unjobs.org/vacancies/1574026032609,UNICEF - United Nations Children's Fund,2019-11-18T04:37:52Z
"Consultancy: Knowledge Management and Planning Support, Health Section, New York",https://unjobs.org/vacancies/1574026028727,UNICEF - United Nations Children's Fund,2019-11-18T04:37:44Z
"Consultancy: Developing a methodology for conducting a UNICEF landscape analysis on child, Nutrition Section, New York",https://unjobs.org/vacancies/1574026024807,UNICEF - United Nations Children's Fund,2019-11-18T04:37:31Z
"Consultancy: Social Norms and Harmful Practices, Child Protection Specialist, New York",https://unjobs.org/vacancies/1574026020892,UNICEF - United Nations Children's Fund,2019-11-18T04:37:17Z
"Programme Officer (HACT), Sana'a, Yemen",https://unjobs.org/vacancies/1574026015575,UNICEF - United Nations Children's Fund,2019-11-18T04:36:50Z
"Programme Assistant, Sana'a_Yemen",https://unjobs.org/vacancies/1574026007094,UNICEF - United Nations Children's Fund,2019-11-18T04:36:00Z
"Consultancy for Graphic Designer, Egypt",https://unjobs.org/vacancies/1574026003211,UNICEF - United Nations Children's Fund,2019-11-18T04:35:33Z
"National Project Coordinator, Lao PDR",https://unjobs.org/vacancies/1574030094363,UNIDO - United Nations Industrial Development Organization,2019-11-18T04:35:05Z
"National Monitoring and Evaluation Expert, South Sudan",https://unjobs.org/vacancies/1574030092463,UNIDO - United Nations Industrial Development Organization,2019-11-18T04:34:56Z
"Conseiller Technique Principal International - PAMPAT II, Tunisia",https://unjobs.org/vacancies/1574030090550,UNIDO - United Nations Industrial Development Organization,2019-11-18T04:34:45Z
"Project Coordinator (Gender, Environmental and Social Safeguards Specialist), Austria",https://unjobs.org/vacancies/1574030088641,UNIDO - United Nations Industrial Development Organization,2019-11-18T04:34:37Z
"Editorial Coordinator and Copywriter, Geneva, Switzerland",https://unjobs.org/vacancies/1574033953228,ITU - International Telecommunication Union,2019-11-18T00:43:54Z
"National Project Coordinator - Skills Development NOB (DC), Nairobi",https://unjobs.org/vacancies/1574034668799,ILO - International Labour Organization,2019-11-18T00:42:52Z
"HR Clerk, Vienna, Austria",https://unjobs.org/vacancies/1574034864365,OSCE - Organization for Security and Co-operation in Europe,2019-11-18T00:41:58Z
"Programme Officer, Dushanbe, Tajikistan",https://unjobs.org/vacancies/1574034866357,OSCE - Organization for Security and Co-operation in Europe,2019-11-18T00:41:46Z
"Recruitment Assistant, Vienna, Austria",https://unjobs.org/vacancies/1574034870246,OSCE - Organization for Security and Co-operation in Europe,2019-11-18T00:41:35Z
"Deputy Head of Office, Dushanbe, Tajikistan",https://unjobs.org/vacancies/1574034873616,OSCE - Organization for Security and Co-operation in Europe,2019-11-18T00:41:22Z
"Senior Recruitment Assistant, Vienna, Austria",https://unjobs.org/vacancies/1574034875455,OSCE - Organization for Security and Co-operation in Europe,2019-11-18T00:41:11Z
"Senior Finance Assistant (GL), Budapest, Hungary",https://unjobs.org/vacancies/1574037110122,UNHCR - United Nations High Commissioner for Refugees,2019-11-18T00:36:43Z
"Partnership Associate, Geneva, Switzerland",https://unjobs.org/vacancies/1574037113698,UNHCR - United Nations High Commissioner for Refugees,2019-11-18T00:36:32Z
"Associate Protection Officer, Sarajevo, Bosnia and Herzegovina",https://unjobs.org/vacancies/1574037120782,UNHCR - United Nations High Commissioner for Refugees,2019-11-18T00:36:21Z
"Administrative Assistant, Geneva, Switzerland",https://unjobs.org/vacancies/1574037124503,UNHCR - United Nations High Commissioner for Refugees,2019-11-18T00:36:09Z
"Senior Medical Admin Assistant/Nurse, Geneva, Switzerland",https://unjobs.org/vacancies/1574037128228,UNHCR - United Nations High Commissioner for Refugees,2019-11-18T00:35:57Z
"Administrative Associate, Geneva, Switzerland",https://unjobs.org/vacancies/1574037131819,UNHCR - United Nations High Commissioner for Refugees,2019-11-18T00:35:45Z
"Senior Protection Assistant, Geneva, Switzerland",https://unjobs.org/vacancies/1574037135679,UNHCR - United Nations High Commissioner for Refugees,2019-11-18T00:35:33Z
"HR Assistant, Geneva, Switzerland",https://unjobs.org/vacancies/1574037139159,UNHCR - United Nations High Commissioner for Refugees,2019-11-18T00:35:21Z
"Associate Resettlement & Complementary Pathways Officer, San Salvador, El Salvador",https://unjobs.org/vacancies/1574037142871,UNHCR - United Nations High Commissioner for Refugees,2019-11-18T00:35:09Z
"External Relations Associate, Bern, Switzerland",https://unjobs.org/vacancies/1574037146569,UNHCR - United Nations High Commissioner for Refugees,2019-11-18T00:34:57Z
"Internship, Geneva, Switzerland",https://unjobs.org/vacancies/1574037150104,UNHCR - United Nations High Commissioner for Refugees,2019-11-18T00:34:46Z
"Senior Medical Admin Assistant/Nurse, Geneva, Switzerland",https://unjobs.org/vacancies/1574037153793,UNHCR - United Nations High Commissioner for Refugees,2019-11-18T00:34:34Z
"Associate Protection Officer, Ruyigi, Burundi",https://unjobs.org/vacancies/1574037157415,UNHCR - United Nations High Commissioner for Refugees,2019-11-18T00:34:21Z
"Associate Protection Officer (Community-Based), Amman, Jordan",https://unjobs.org/vacancies/1574037160825,UNHCR - United Nations High Commissioner for Refugees,2019-11-18T00:34:09Z
"Associate RSD Officer, Kuala Lumpur, Malaysia",https://unjobs.org/vacancies/1574037168440,UNHCR - United Nations High Commissioner for Refugees,2019-11-18T00:33:57Z
"Senior Executive Support Assistant, Geneva, Switzerland",https://unjobs.org/vacancies/1574037171900,UNHCR - United Nations High Commissioner for Refugees,2019-11-18T00:33:45Z
"Assistant Information Management Officer, Beirut, Lebanon",https://unjobs.org/vacancies/1574037175497,UNHCR - United Nations High Commissioner for Refugees,2019-11-18T00:33:33Z
"Application Support Technician, Valencia, Spain",https://unjobs.org/vacancies/1574029996118,ICC - International Computing Centre,2019-11-17T23:33:37Z
"Vice-Rector in Europe / Director, UNU-EHS, Bonn, Germany",https://unjobs.org/vacancies/1574031089409,UNDP - United Nations Development Programme,2019-11-17T23:32:14Z
"Research Consultant, Ghana Climate Innovation Center, Accra, Ghana",https://unjobs.org/vacancies/1574031096581,UNDP - United Nations Development Programme,2019-11-17T23:32:03Z
"Research Assistant – Migrant Tech, Macau, China",https://unjobs.org/vacancies/1574031101172,UNDP - United Nations Development Programme,2019-11-17T23:31:50Z
"Asistente Superior de Adquisiciones, Tegucigalpa, Honduras",https://unjobs.org/vacancies/1574027626340,UNOPS - United Nations Office for Project Services,2019-11-17T22:08:25Z
"Senior Project Manager (Infrastructure), Weno, Federated States of Micronesia",https://unjobs.org/vacancies/1574027644473,UNOPS - United Nations Office for Project Services,2019-11-17T22:08:00Z
"Administration Senior Assistant, Bangkok, Thailand",https://unjobs.org/vacancies/1574027647306,UNOPS - United Nations Office for Project Services,2019-11-17T22:07:32Z
"Associate Civil Engineer-Retainer, Lusaka, Zambia",https://unjobs.org/vacancies/1574027652615,UNOPS - United Nations Office for Project Services,2019-11-17T22:07:20Z
"Deputy Director, Infrastructure and Project Management Group, Copenhagen, Denmark",https://unjobs.org/vacancies/1574027653963,UNOPS - United Nations Office for Project Services,2019-11-17T22:07:08Z
"Civil Engineer-Retainer, Lusaka, Zambia",https://unjobs.org/vacancies/1574027666258,UNOPS - United Nations Office for Project Services,2019-11-17T22:06:44Z
"ICT Support Associate, Suva, Fiji",https://unjobs.org/vacancies/1574027686936,UNDP - United Nations Development Programme,2019-11-17T22:06:31Z
"Republication / Clerk aux opérations et à l'Administration - PNUD Comores, Moroni, Comoros",https://unjobs.org/vacancies/1574027691647,UNDP - United Nations Development Programme,2019-11-17T22:06:19Z
"National Project Officer, Vientiane, Laos",https://unjobs.org/vacancies/1574027705686,UNDP - United Nations Development Programme,2019-11-17T22:06:05Z
"Atlas HCM Technical Analyst, Copenhagen, Denmark",https://unjobs.org/vacancies/1574027716121,UNDP - United Nations Development Programme,2019-11-17T22:05:53Z
"Oficial en Derechos Sexuales y Reproductivos, Buenos Aires, Argentina",https://unjobs.org/vacancies/1574027720447,UNDP - United Nations Development Programme,2019-11-17T22:05:41Z
"Regional Anti-Corruption Specialist, Suva, Fiji",https://unjobs.org/vacancies/1574027727486,UNDP - United Nations Development Programme,2019-11-17T22:05:30Z
"Junior Professional Officer (JPO) - Rule of law, Bamako, Mali",https://unjobs.org/vacancies/1574027738232,UNDP - United Nations Development Programme,2019-11-17T22:05:16Z
"RFP - Safe Disposal of Cathode Ray Tube Monitors, Cairo, Egypt",https://unjobs.org/vacancies/1574027763620,UNDP - United Nations Development Programme,2019-11-17T22:04:48Z
"(Re-advertisement) REMB Management Information System Consultant (National Consultant), Manila, Philippines",https://unjobs.org/vacancies/1574027772743,UNDP - United Nations Development Programme,2019-11-17T22:04:25Z
"UN Women - Assistant Accountant : Consultant, New York, United States",https://unjobs.org/vacancies/1574027777311,UNDP - United Nations Development Programme,2019-11-17T22:04:10Z
"Sélection d'un/e consultant/e d´expertise international(e) pour la réalisation de l'étude d'impacts socio-économiques de l'épidémie de la maladie à virus Ebola dans la province de Nord Kivu /RDC, Goma, Democratic Republic of Congo",https://unjobs.org/vacancies/1574027800007,UNDP - United Nations Development Programme,2019-11-17T22:03:12Z
"UNWOMEN Country Representative, Nur-Sultan, Kazakhstan",https://unjobs.org/vacancies/1574027804579,UNDP - United Nations Development Programme,2019-11-17T22:03:00Z
"Consultant - STEM and Inclusive Economic Growth Specialist, New York, United States",https://unjobs.org/vacancies/1574027809255,UNDP - United Nations Development Programme,2019-11-17T22:02:45Z
"Programme Analyst, Gender in Humanitarian Action and Disaster Risk Reduction, Suva, Fiji",https://unjobs.org/vacancies/1574027813932,UNDP - United Nations Development Programme,2019-11-17T22:02:30Z
"Support the development of an updated Forest Reference Level (FRL) and develop options to allocate the FRL at multiple spatial scales for REDD+ implementation in Cambodia, Phnom Penh, Cambodia",https://unjobs.org/vacancies/1574027818485,UNDP - United Nations Development Programme,2019-11-17T22:02:18Z
"Administrative Associate (Thai National Only), Bangkok, Thailand",https://unjobs.org/vacancies/1574027823068,UNDP - United Nations Development Programme,2019-11-17T22:02:05Z
"EXECUTIVE ASSISTANT, Bujumbura, Burundi",https://unjobs.org/vacancies/1574027832072,UNDP - United Nations Development Programme,2019-11-17T22:01:40Z
"Communications Officer, Port of Spain, Trinidad and Tobago",https://unjobs.org/vacancies/1574027842211,UNDP - United Nations Development Programme,2019-11-17T22:01:15Z
"Finance/Administrative Associate, Port of Spain, Trinidad and Tobago",https://unjobs.org/vacancies/1574027846772,UNDP - United Nations Development Programme,2019-11-17T22:01:02Z
"Monitoring and Evaluation Officer, Port of Spain, Trinidad and Tobago",https://unjobs.org/vacancies/1574027851225,UNDP - United Nations Development Programme,2019-11-17T22:00:50Z
"Programme Coordinator, Port of Spain, Trinidad and Tobago",https://unjobs.org/vacancies/1574027855790,UNDP - United Nations Development Programme,2019-11-17T22:00:37Z
"Outreach and Foundations Strategy Consultant, New York, United States",https://unjobs.org/vacancies/1574027860291,UNDP - United Nations Development Programme,2019-11-17T22:00:25Z
"Recrutement d'un expert national en Genre et Développement Local pour évaluation finale Projet JATROPHA, Ouagadougou, Burkina Faso",https://unjobs.org/vacancies/1574027864967,UNDP - United Nations Development Programme,2019-11-17T22:00:12Z
"Recrutement d'un expert principal /Chef de mission pour évaluation finale projet JATROPHA, Ouagadougou, Burkina Faso",https://unjobs.org/vacancies/1574027869557,UNDP - United Nations Development Programme,2019-11-17T21:59:58Z
"Junior Consultant: Effective Development Co-operation,, New York, United States",https://unjobs.org/vacancies/1574027874080,UNDP - United Nations Development Programme,2019-11-17T21:59:43Z
"ONUMUJERES/ECU/PS/19-046 - DESARROLLO CONCEPTUAL Y ESTIMACIÓN DE COSTOS DEL SISTEMA DE ALERTA TEMPRANA PARA CASOS DE FEMICIDIO, Quito, Ecuador",https://unjobs.org/vacancies/1574027883297,UNDP - United Nations Development Programme,2019-11-17T21:59:10Z
"ONUMUJERES/ECU/PS/19-047 Mapeo de oportunidades, socios y herramientas para trabajo con sector privado para la igualdad de género y empoderamiento de derechos de mujeres en el marco de los WEPs (Principios para el empoderamiento de las Mujeres) Ecuador, Quito, Ecuador",https://unjobs.org/vacancies/1574027888089,UNDP - United Nations Development Programme,2019-11-17T21:58:52Z
"Inspector (P-3) Inspectorate Division, The Hague",https://unjobs.org/vacancies/1573990522503,OPCW - Organization for the Prohibition of Chemical Weapons,2019-11-17T12:00:31Z
"Health Officer, Jakarta",https://unjobs.org/vacancies/1573990632745,ASEAN - Association of Southeast Asian Nations,2019-11-17T11:59:43Z
"Field Procurement Officer - Indonesia 1, Indonesia - Jakarta",https://unjobs.org/vacancies/1573944625022,ISDB - Islamic Development Bank,2019-11-17T11:53:02Z
"Field Procurement Officer - Almaty, Kazakhstan - Almaty",https://unjobs.org/vacancies/1573944624130,ISDB - Islamic Development Bank,2019-11-17T11:51:00Z
"Regional Procurement Officer - Russian Speaker, Saudi Arabia - Jeddah",https://unjobs.org/vacancies/1573944625914,ISDB - Islamic Development Bank,2019-11-16T23:08:01Z
"Human Resources Assistant - SC 5, Banjul (1), Banjul, Gambia",https://unjobs.org/vacancies/1573938546116,WFP - World Food Programme,2019-11-16T21:28:22Z
"Senior Programme Associate (Nutrition Data) SC7, Addis Ababa, Ethiopia",https://unjobs.org/vacancies/1573938560624,WFP - World Food Programme,2019-11-16T21:28:08Z
"Finance Associate G6 - Beira, Beira, Mozambique",https://unjobs.org/vacancies/1573938574864,WFP - World Food Programme,2019-11-16T21:27:54Z
"Senior Programme Associate (School Feeding), SC 7, Banjul, Banjul, Gambia",https://unjobs.org/vacancies/1573938589065,WFP - World Food Programme,2019-11-16T21:27:43Z
"Prevention of Sexual Exploitation and Abuse (PSEA) Coordinator, Kabul, Afghanistan",https://unjobs.org/vacancies/1573938603397,WFP - World Food Programme,2019-11-16T21:27:29Z
"Asistente de Adquisiciones, Quito, Ecuador",https://unjobs.org/vacancies/1573938617831,WFP - World Food Programme,2019-11-16T21:27:14Z
"Programme Associate G6, Juba, South Sudan",https://unjobs.org/vacancies/1573938632245,WFP - World Food Programme,2019-11-16T21:27:01Z
"Finance Officer, NOB, Kathmandu, Nepal",https://unjobs.org/vacancies/1573938661368,WFP - World Food Programme,2019-11-16T21:26:48Z
"Intern (Data Management), 2 positions - Kampala, Kampala, Uganda",https://unjobs.org/vacancies/1573938675746,WFP - World Food Programme,2019-11-16T21:26:36Z
"Finance Associate, SC 6, Banjul, Banjul, Gambia",https://unjobs.org/vacancies/1573938689899,WFP - World Food Programme,2019-11-16T21:26:25Z
"Asistente de Programa - Monitoreo y Evaluación, Quito, Ecuador",https://unjobs.org/vacancies/1573938704250,WFP - World Food Programme,2019-11-16T21:26:10Z
"Asistente de Programa - Presupuesto y Programación, Quito, Ecuador",https://unjobs.org/vacancies/1573938718777,WFP - World Food Programme,2019-11-16T21:25:57Z
"SUPPLY CHAIN CBT AND MARKETS, Bangkok, Thailand",https://unjobs.org/vacancies/1573938733030,WFP - World Food Programme,2019-11-16T21:25:45Z
"Business Support Assistant (Admin), SC 4, Banjul, Banjul, Gambia",https://unjobs.org/vacancies/1573938747200,WFP - World Food Programme,2019-11-16T21:25:34Z
"Programme Associate (Food Systems), G6 Kampala, Kampala, Uganda",https://unjobs.org/vacancies/1573938761665,WFP - World Food Programme,2019-11-16T21:25:20Z
"Business Support Assistant (CD Office), FT - G5,, Banjul, Banjul, Gambia",https://unjobs.org/vacancies/1573938775999,WFP - World Food Programme,2019-11-16T21:25:07Z
"Asistente de Administración y LESS, Quito, Ecuador",https://unjobs.org/vacancies/1573938790315,WFP - World Food Programme,2019-11-16T21:24:54Z
"Procurement Assistant (Cash Based Transfer), SC 5, Banjul, Banjul, Gambia",https://unjobs.org/vacancies/1573938804585,WFP - World Food Programme,2019-11-16T21:24:41Z
"IT Operations Officer NOA, Kathmandu, Nepal",https://unjobs.org/vacancies/1573938818926,WFP - World Food Programme,2019-11-16T21:24:28Z
"SUPPLY CHAIN CBT AND MARKETS, Johannesburg, South Africa",https://unjobs.org/vacancies/1573938833264,WFP - World Food Programme,2019-11-16T21:24:14Z
"Associate Operations Officer, Manila",https://unjobs.org/vacancies/1573935474893,ADB - Asian Development Bank,2019-11-16T20:59:53Z
"Associate Safeguards Officer, Manila",https://unjobs.org/vacancies/1573935480749,ADB - Asian Development Bank,2019-11-16T20:59:30Z
"Board Operations Analyst, Beijing",https://unjobs.org/vacancies/1573935656902,AIIB - Asian Infrastructure Investment Bank,2019-11-16T20:59:07Z
"Young Professional, Abidjan, Cote D'ivoire",https://unjobs.org/vacancies/1573936124518,AfDB - African Development Bank,2019-11-16T20:58:06Z
"Assistant to Chief Economist/Vice-President for Economic Gouvernance and Knowledge Management, ECSA, Abidjan, Côte d'Ivoire",https://unjobs.org/vacancies/1573936139625,AfDB - African Development Bank,2019-11-16T20:57:54Z
"Division Manager Corporate Procurement, CHGS.2, Abidjan, Cote d'ivoire",https://unjobs.org/vacancies/1573936154599,AfDB - African Development Bank,2019-11-16T20:57:43Z
"Senior Transport Engineer, RDGC1, Kinshasa, Congo",https://unjobs.org/vacancies/1573936170486,AfDB - African Development Bank,2019-11-16T20:57:30Z
"Regional Program Officer (RPO), RDNG, Abuja, Nigeria",https://unjobs.org/vacancies/1573936185872,AfDB - African Development Bank,2019-11-16T20:57:18Z
"Senior Communications Officer, Suva",https://unjobs.org/vacancies/1573845711741,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),2019-11-15T19:23:31Z
"Technical Officer, Regulatory Systems Strengthening, Medical Products, Suva, Fiji",https://unjobs.org/vacancies/1573844247522,WHO - World Health Organization,2019-11-15T19:04:44Z
"Technical/Medical officer/Consultant/Expert for Health Promotion and Social Determinants of Health, New Delhi, India",https://unjobs.org/vacancies/1573844262082,WHO - World Health Organization,2019-11-15T19:04:32Z
"National Professional Officer (Sexual Reprod. Health Rights), Nay Pyi Taw, Myanmar",https://unjobs.org/vacancies/1573844291446,WHO - World Health Organization,2019-11-15T19:04:08Z
"Programme Area Manager, Health Emergency Information and Risk Assessment, Manila, Philippines",https://unjobs.org/vacancies/1573844305931,WHO - World Health Organization,2019-11-15T19:03:56Z
"Expert pour lu2019xe9valuation de la transparence dans le secteur pharmaceutique, Ouagadougou, Burkina Faso",https://unjobs.org/vacancies/1573844322068,WHO - World Health Organization,2019-11-15T19:03:43Z
"Medical Officer, Geneva, Switzerland",https://unjobs.org/vacancies/1573844338358,WHO - World Health Organization,2019-11-15T19:03:30Z
"Program Assistant, Juba, South Sudan",https://unjobs.org/vacancies/1573844353762,WHO - World Health Organization,2019-11-15T19:03:18Z
"Head of Sub Office, Cox's Bazaar, Bangladesh",https://unjobs.org/vacancies/1573844368696,WHO - World Health Organization,2019-11-15T19:03:06Z
"Project Officer, Geneva, Switzerland",https://unjobs.org/vacancies/1573844398177,WHO - World Health Organization,2019-11-15T19:02:51Z
"IDB Invest - Investment Management Principal Officer - Equity and Mezzanine, Washington",https://unjobs.org/vacancies/1573822288085,IDB - Inter-American Development Bank,2019-11-15T13:14:26Z
"Digital and Engagement Cluster Head or Specialist, Washington",https://unjobs.org/vacancies/1573822277897,IDB - Inter-American Development Bank,2019-11-15T13:13:57Z
"Resource Planning and Administration Senior Associate or Associate, Washington",https://unjobs.org/vacancies/1573822258166,IDB - Inter-American Development Bank,2019-11-15T13:12:53Z
"Arts and Transformation Senior Associate, Washington",https://unjobs.org/vacancies/1573822248325,IDB - Inter-American Development Bank,2019-11-15T13:12:42Z
"Research Economist (Economics Specialist/Sr Specialist), Washington",https://unjobs.org/vacancies/1573822238558,IDB - Inter-American Development Bank,2019-11-15T13:11:44Z
"Loan and Corporate Accounts Specialist, Washington",https://unjobs.org/vacancies/1573822228751,IDB - Inter-American Development Bank,2019-11-15T13:11:04Z
"Water and Sanitation Financial Sr. Specialist or Specialist, Washington",https://unjobs.org/vacancies/1573822218956,IDB - Inter-American Development Bank,2019-11-15T13:10:27Z
"Programme Specialist (Education), Apia, Samoa",https://unjobs.org/vacancies/1573822683550,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:09:35Z
"Programme Specialist (Social and Human Sciences), Paris, France",https://unjobs.org/vacancies/1573822694226,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:09:22Z
"Infirmière, Paris",https://unjobs.org/vacancies/1573823020120,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:09:21Z
"Head of Office and UNESCO Representative to Mexico, Mexico City, Mexico",https://unjobs.org/vacancies/1573822705112,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:09:10Z
"Programme Specialist (Education), Port-au-Prince, Haiti",https://unjobs.org/vacancies/1573822715576,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:08:59Z
"Médecin, Paris",https://unjobs.org/vacancies/1573823008814,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:08:57Z
"Chef de Section (Gestion des documents), Paris, France",https://unjobs.org/vacancies/1573822726202,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:08:47Z
"Text-processing Operator (Chinese), Paris, France",https://unjobs.org/vacancies/1573822736608,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:08:34Z
"Programme Assistant, Paris, France",https://unjobs.org/vacancies/1573822757706,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:08:12Z
"Programme Specialist (Education), Nairobi, Kenya",https://unjobs.org/vacancies/1573822768123,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:08:00Z
"Regional Advisor for Communication and Information, Nairobi, Kenya",https://unjobs.org/vacancies/1573822778622,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:07:48Z
"Secretarial Assistant, Paris, France",https://unjobs.org/vacancies/1573822789101,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:07:36Z
"Project Assistant, Paris, France",https://unjobs.org/vacancies/1573822799513,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:07:23Z
"Finance and Administrative Officer - Dakar, Dakar, Senegal",https://unjobs.org/vacancies/1573822810135,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:07:11Z
"Programme Specialist (Culture), Apia, Samoa",https://unjobs.org/vacancies/1573822823087,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:06:59Z
"Principal Consultant on Ethics of Artificial Intelligence, Paris, France",https://unjobs.org/vacancies/1573822834508,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:06:45Z
"Chief of Education Planning, Management and Sector Analysis Unit, Santiago, Chile",https://unjobs.org/vacancies/1573822846131,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:06:34Z
"Associate Programme Specialist (Culture), Paris, France",https://unjobs.org/vacancies/1573822857571,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:06:21Z
"Chief of Section for Science Policy and Partnerships, Paris, France",https://unjobs.org/vacancies/1573822869126,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",2019-11-15T13:06:09Z
